Country Name,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, primary (% gross)","Government expenditure on education, total (% of government expenditure)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Life expectancy at birth, total (years)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Urban population (% of total population),Access to electricity (% of population),People using safely managed drinking water services (% of population)/at least basic,"Physicians (per 1,000 people)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Inflation, consumer prices (annual %)"
Ukraine,82.70,96.00,99.00,13.16,99.76,100.00,8.10,7.30,71.83,16.55,69.47,100.00,87.67,2.99,8.19,84.55,14.60,7.89
Upper middle income,54.97,92.90,103.16,14.19,95.86,98.44,12.87,9.90,75.95,30.62,65.69,99.24,79.64,2.20,5.81,58.61,37.44,1.85
Uruguay,65.16,123.00,104.31,15.15,98.77,99.02,10.82,5.80,77.51,38.38,95.43,99.90,94.59,5.05,8.73,71.45,24.71,7.88
United States,87.89,100.06,100.98,13.38,79.00,80.00,11.40,5.50,78.79,16.41,82.46,100.00,97.01,2.61,3.67,93.91,3.98,1.81
Uzbekistan,12.58,97.42,102.22,25.59,100.00,100.00,24.30,13.80,71.34,17.45,50.43,100.00,64.77,2.37,5.86,53.55,34.38,14.53
St. Vincent and the Grenadines,23.70,107.23,112.03,19.01,96.90,99.00,13.35,13.40,72.84,49.59,52.61,100.00,98.00,0.66,19.09,73.81,21.18,0.91
"Venezuela, RB",79.30,88.08,97.20,23.87,97.13,98.76,16.89,21.10,72.16,85.34,88.24,99.84,76.70,1.92,5.09,60.38,37.25,254.90
Vietnam,28.64,58.26,115.44,14.03,95.75,98.63,15.66,16.80,74.09,34.70,36.63,99.40,45.07,0.82,1.68,45.13,52.75,2.80
Vanuatu,4.70,50.90,118.64,5.59,87.51,96.28,30.40,20.90,69.88,65.86,25.39,64.50,56.05,0.17,1.76,33.13,66.32,2.76
World,39.23,76.23,101.43,13.46,86.66,91.71,17.82,29.20,72.98,43.37,55.63,90.19,71.66,1.67,5.54,53.33,43.36,2.21
Samoa,14.02,93.26,115.11,15.60,99.10,99.12,27.90,15.00,72.16,45.20,18.06,99.20,55.88,0.34,9.15,67.93,29.19,0.98
"Yemen, Rep.",10.20,51.58,93.60,15.09,69.96,77.00,31.78,46.50,65.09,57.83,37.27,72.78,61.76,0.31,12.98,44.09,49.34,8.10
South Africa,23.87,102.56,98.37,19.60,95.02,98.41,21.28,27.30,66.18,64.98,66.86,85.00,82.12,0.79,25.54,83.66,10.67,4.12
Zambia,4.10,19.93,98.70,15.29,86.75,92.09,35.46,42.40,62.79,122.84,44.07,43.00,46.29,1.19,5.54,24.58,75.13,9.15
Zimbabwe,10.00,52.41,97.14,15.67,88.69,90.43,31.52,37.10,61.29,97.35,32.21,46.68,13.09,0.21,7.37,32.25,67.46,255.30
