Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",Individuals using the Internet (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Urban population (% of total population),Urban population growth (annual %),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Denmark,100.0,100.0,2.123,10.5,2.222975,79.23107,1.7,98.04643475,81.45121951,99.0,3.3,100.0,99.5972319,0.4,0.9,0.3,1.5,1.868053913,101.3275833,129.885025,81.83975983,87.994,0.494581335,4.9386524,91.66127
Djibouti,9.2,64.7,22.716,22.748,1.203609,92.91631,2.891,59.34196605,63.085,68.0,48.7,75.99574636,66.63823975,5.4,10.7,7.8,15.9,-0.930672646,9.180319786,51.97055054,5.35,77.915,1.753448511,47.462028,48.28175
Dominican Republic,90.9,99.0,78.455,19.291,8.786791,72.44247,2.344,79.71545398,73.577,93.8,28.3,96.14011415,87.20310838,1.7,4.2,1.7,8.4,-0.305115938,57.13376999,81.59329224,61.16122818,81.828,2.000682301,38.564485,58.2319
Ecuador,94.5,99.09,67.77,17.338,29.74193,53.04398,2.088,59.2,77.297,93.0,11.5,95.01122463,90.00324066,1.4,3.3,1.2,5.5,-0.524804235,62.98297119,100.5680771,47.94522858,63.986,2.167881184,48.39941,48.77111
"Egypt, Arab Rep.",99.9,100.0,46.431,23.568,21.1478,50.24291,3.001,57.2828664,71.358,71.2,17.3,98.76141522,97.20055826,2.1,3.6,2.2,3.9,-0.318304539,29.2698307,89.48068237,38.90494919,42.73,1.854868207,19.50698,71.09994
El Salvador,90.7,97.36,57.808,16.416,16.29396,61.19739,1.838,50.49119407,72.559,89.13791656,11.5,97.82034809,86.82160581,2.4,5.9,1.3,7.8,-0.847973704,63.18,68.67,29.9244194,72.746,1.060564674,34.602856,60.87211
Equatorial Guinea,24.0,66.57125092,148.872,31.874,55.74711,30.70115,4.429,49.13366302,61.644,95.3,60.4,64.67,66.31,6.9,11.3,9.6,14.2,-1.279205203,43.36,26.07,1.85,72.627,4.00365647,77.856633,13.13962
Eritrea,11.1,50.27040863,65.921,28.941,62.18325,29.41195,3.997,8.832308384,67.3,76.57051849,30.5,51.85,11.94,3.8,8.3,3.7,12.8,-1.621500492,23.8528347,46.44079208,3.36,40.712,3.10382465,84.86754,13.82157
Estonia,100.0,100.0,8.687,10.6,3.167165,68.13008,1.66,90.2289282,78.64634146,99.8,1.8,99.98728731,99.07715838,0.6,1.8,0.5,2.2,1.274343967,94.31176758,115.6051178,74.231987,69.051,0.61944107,6.4451259,89.00897
Eswatini,54.7,77.03039551,71.813,25.118,12.40624,63.55314,2.921,54.0343672,60.549,88.41938019,43.9,70.4275346,64.52143144,1.8,9.9,10.0,14.8,-0.460595191,27.43,82.41,6.75,23.981,1.550362947,32.758096,65.12909
Ethiopia,6.2,48.04761887,71.691,33.123,63.89353,26.30548,4.323,16.15232553,65.838,51.8,36.6,47.25397856,8.652039161,3.2,8.0,4.7,8.7,-0.468411416,34.98442841,34.94,10.42656994,21.225,4.856728303,84.62408,14.90036
Fiji,47.9,96.09404755,27.206,19.962,29.38256,56.51318,2.519,77.18669679,67.893,99.1,22.6,95.38331405,93.70994117,2.7,4.1,2.2,6.1,0.466517687,35.49465179,79.60799408,53.49316025,56.75,0.83071645,31.20941,67.56538
Finland,100.0,100.0,4.092,8.3,3.778296,74.58147,1.35,89.60738511,81.98292683,100.0,1.9,100.0,99.44796506,0.4,1.8,0.3,2.9,2.048781872,87.29061127,145.318985,92.95500946,85.446,0.185101615,9.6766984,86.54237
France,100.0,100.0,9.662,11.2,2.515296,77.0927,1.86,83.33974409,82.82682927,93.0,3.4,100.0,98.64841455,0.4,1.0,0.4,1.9,1.400214791,106.2360229,104.2929916,68.35790253,80.709,0.670255811,7.8800037,87.86746
Gabon,88.8,90.3191452,94.797,28.354,29.99991,54.7375,3.615,68.68550299,66.603,84.66716003,31.2,85.98402117,49.78482468,6.9,7.1,5.5,8.4,-0.738471806,42.98664856,73.0632019,21.06587029,89.741,2.704146114,31.8836047,65.5266
"Gambia, The",1.8,62.1,65.844,34.281,48.70561,44.27979,4.869,28.80487199,63.755,50.8,35.8,83.89902078,47.20140933,4.8,8.2,5.7,10.8,-0.388973624,43.24927139,50.13,2.72,61.931,3.655721232,71.06296,27.22666
Georgia,87.6,100.0,30.968,13.451,38.1471,47.59245,2.011,68.84671356,73.47,99.55844116,8.6,94.43602693,86.53207834,1.1,2.6,0.9,3.8,0.272518426,93.3745575,106.2963486,63.91550064,59.039,0.520212544,47.70731,50.2934
Germany,100.0,100.0,7.524,9.4,1.204102,71.61365,1.54,88.13451691,81.29268293,99.0,3.2,99.99999955,99.22538408,0.4,1.1,0.4,1.5,1.612633109,107.9011688,97.54060364,73.52105713,77.376,0.308266936,5.3459499,90.3932
Ghana,27.3,83.5,66.576,28.572,40.21559,41.40126,3.683,45.00963073,64.74,79.03964233,34.5,85.2423371,24.99607292,4.6,7.4,6.0,7.5,0.037778921,117.0123367,74.67948914,17.23296928,56.707,3.236444646,68.810157,25.58282
Greece,100.0,100.0,8.309,7.8,11.59859,73.06309,1.34,75.67120669,81.63902439,97.93595123,3.5,99.9999993,98.99026224,0.4,1.1,0.4,1.9,0.179606944,83.80600739,108.0768585,148.5308838,79.388,0.311210821,24.499842,68.10283
Guatemala,46.3,95.42914581,71.729,22.858,31.08465,49.8605,2.61,44.40104984,73.129,80.81067657,20.8,93.50770908,68.24366871,2.1,6.4,1.6,8.6,-1.083545089,49.07015991,51.14957809,22.14220047,51.439,2.31165941,33.763778,63.43921
Guinea,0.9,42.2,120.255,35.436,59.59873,33.68034,4.576,23.36626025,59.72,39.6176796,66.8,67.67524723,27.60639759,6.2,13.7,12.7,18.7,-1.216113567,16.88398361,36.80654144,7.018630028,36.5,3.528846943,90.69041,7.76576
Guinea-Bissau,1.0,30.93199539,91.379,32.093,51.02494,38.82777,4.172,22.92009029,60.882,59.9,52.9,61.37447181,24.98110645,5.9,11.0,8.3,13.9,-1.282622933,6.69,34.16,2.64,43.777,3.293474288,80.34668,18.56708
Guyana,79.5,91.64648438,68.995,20.828,15.29822,60.2756,2.44,78.63994332,69.124,88.5,24.6,94.94836382,89.14988982,2.8,5.8,2.0,11.4,-0.429063171,95.36,97.73,11.62,26.689,1.982664496,28.679049,65.50665
Haiti,4.1,45.43953323,54.241,24.304,46.44384,41.71913,2.919,32.47362713,64.255,61.7,48.0,66.32098621,36.93852759,4.4,6.8,6.2,11.3,-0.966019213,5.57,17.92,1.05,56.192,2.975074661,73.19619,26.08829
