Country Name,Country Code,Group,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Compulsory education, duration (years)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",Out-of-pocket expenditure (% of current health expenditure),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Population density (people per sq. km of land area),Population growth (annual %),"Preprimary education, duration (years)","Primary education, duration (years)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Secondary education, duration (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population (% of total population),Urban population growth (annual %),Voice and Accountability: Estimate,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Tajikistan,TJK,country,83.3,99.4458847,47.841,65.84660517,28.267,9,11.93835,6.9476676,4.843,43.57244,19.12898,37.29857,38.119,21.648,3.281,8300813890,7.4,889.0233718,4.997436201,5.712900162,97,98,21.96,7.8,25.746,41.007,2430291,70.867,99.8,29.4,71.2230072,81.81511097,96.77256026,-0.520874679,67.27432092,2.262424935,4,4,1.1,1.7,1.1,2.5,-1.237105608,9.91,100.86,88.5,31.26,7,0.86628,7.044,15.916,27.309,2.905309095,-1.796795249,24.50335,72.00602
Tanzania,TZA,country,5.6,37.7,126.38,89.63348755,37.113,7,31.79004,3.87440205,6.012,65.07989,6.879666,28.04046,81.967,68.517,4.864,61026765850,5.8,1050.932373,2.667817082,3.596839905,89,88,18.27725712,3.46428058,71.326,83.823,28031346,66.989,77.9,35.9,21.91386986,56.56584813,29.09938898,-0.373524189,67.59153195,3.02174626,2,7,3.8,8.2,9.4,9.8,-0.553331435,40.85691071,96.27446747,30.83176994,3.092499971,6,10.35652,2.214,3.939,34.5,5.142630881,-0.517210066,81.20936,15.79936
Thailand,THA,country,83.1,99.9,33.628,41.91309591,9.377,9,16.34833,3.8583262,7.14,31.49059,22.88935,45.62006,66.478,38.65,1.352,5.44E+11,2.114557796,7628.576087,1.856848998,3.020620108,97,96,66.65241946,0.706728601,40.405,66.96,39952396,78.975,93.76776123,7.7,8.51409531,99.96483136,98.42052371,-0.483683407,139.5755701,0.252691237,5,6,2.5,6.1,1.8,6.7,0.110140085,78.60482788,98.0231781,104.9729385,44.85102081,6,7.84894,0.72,4.344,50.692,1.729252359,-0.846768022,47.74191,49.71693
Timor-Leste,TLS,country,12.85,90.63248444,35.208,72.53451191,25.511,9,21.61008,5.95605564,6.888,42.41051,13.58053,44.00877,63.82,34.116,3.336,2028551600,23.51379251,1584.263822,21.7202719,4.137038231,90,85,28.00455613,0.95881274,38.999,66.794,542136,68.268,68.0668335,45.7,10.48759174,82.38411592,55.1898927,0.233639792,86.10880968,1.462727124,3,6,4.1,15.7,5.8,16,-1.109201193,25.09407997,112.4791641,86.53420258,17.75,6,0.40188,4.452,12.523,30.947,2.662207282,0.357380629,65.98256,33.06628
Togo,TGO,country,9.8,52.46191788,79.621,77.73658501,32.756,10,6.116879,5.64253759,8.465,31.82534,19.68338,48.49128,55.71,22.154,4.385,6992656429,4.922925917,848.3048269,2.422840817,4.069139957,84,75,20.72732716,0.67465277,24.411,57.854,2827220,60.901,66.53707886,45.6,67.19138336,67.81212905,18.34951074,-0.919564307,151.5553227,2.411629916,3,6,5.1,7.6,7.3,10.3,-0.572418034,24.9799099,124.3186111,61.85,13.67588043,7,1.42014,3.707,9.248,42.248,3.71241467,-0.729201138,75.174199,23.2608
Tonga,TON,country,82.9,98.4,19.502,71.33458493,23.424,15,10.02753,4.74669981,6.909,31.31847,26.02101,42.66333,52.582,26.453,3.315,512053639.8,0.706483434,4878.978188,0.897435309,7.959630013,99,99,61.78962999,1.179543348,28.345,53.789,36419,70.871,99.41436768,10.1,5.39891624,98.70035345,94.52446043,1.03230691,145.7652778,-0.189432758,2,6,0.8,3.1,1.5,5.5,0.504024446,49.38024902,115.4482574,94.09308624,18,7,0.37713,2.244,6.674,23.107,-0.292343691,0.633017719,48.3119,50.6039
Trinidad and Tobago,TTO,country,100,100,39.109,42.38867827,12.359,7,0.4321271,6.82082558,7.701,3.082895,26.16233,70.75478,54.907,35.151,1.643,23849557811,0.110394085,15690.9631,-0.893769241,3.698090076,93,99,78.96497802,1.00054293,38.639,56.91,695102,74.228,99,15.5,46.91285706,98.87517077,93.91521101,0.100833662,296.2875244,1.008120513,2,7,1.3,5.1,0.9,9.1,-0.149334028,85.03746033,106.21,85.51,11.95,5,6.06472,3.52,9.026,53.187,1.013757826,0.598354816,19.0984371,75.59153
Tunisia,TUN,country,99.8,100,7.072,49.86680995,17.215,9,2.336132,5.47337294,6.145,14.29192,33.32943,52.37864,39.792,19.442,2.148,41905637659,1.588012807,3477.844271,0.607712765,7.3,98,98,66.6999983,6.720075329,30.068,46.886,4240590,75.993,81.8,14.5,42.90058517,96.19409018,96.3765732,-0.869923055,77.55737642,0.969662162,3,6,1.6,3.1,1.6,4.5,0.110084668,44.62,115.4459686,92.87,31.84726906,7,2.01463,15.13,35.339,69.254,1.416846562,0.262432814,17.656952,76.58533
Turkiye,TUR,country,95.4,100,19.29,46.74185858,15.594,12,10.29537,4.35956669,5.084,18.10844,25.31923,56.57231,45.677,33.297,1.967,7.60E+11,0.783610198,9103.012397,-0.028123353,4.447780132,99,97,73.97670229,15.17682157,44.281,52.91,33612480,77.832,96.74221039,8.6,17.04763412,96.86896416,98.69298999,-1.371727586,108.4698933,0.808683227,6,4,1.1,2,0.9,2.3,-0.330669433,37.96580887,97.05747223,104.1150818,115.0420609,8,1.82036,13.67,24.804,75.63,1.454690841,-0.834260941,27.07046,68.46202
Turkmenistan,TKM,country,99.9,99.9,23.304,55.54588757,23.055,12,2.650776,5.68183947,6.583,23.24518,33.368,43.38682,44.825,23.845,2.74,44220285714,6.300000042,7180.459552,4.688624039,3.120650053,99,99,21.25,5.1,26.226,46.803,1983961,69.002,99.7,36.9,77.00280762,99.79292325,99.00213593,-0.185278386,13.10497308,1.527482669,5,4,1.9,4.6,1.9,5.9,-1.394934177,35,117.9140472,89.67060852,14.22867012,8,2.92752,4.226,9.08,52.048,2.405489494,-2.18512249,27.979606,68.66608
