Country Name,Country Code,Group,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Compulsory education, duration (years)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",Out-of-pocket expenditure (% of current health expenditure),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Population density (people per sq. km of land area),Population growth (annual %),"Preprimary education, duration (years)","Primary education, duration (years)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Secondary education, duration (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population (% of total population),Urban population growth (annual %),Voice and Accountability: Estimate,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Latin America & the Caribbean (IDA & IBRD countries),TLA,aggregate,88.41114651,97.95841638,57.54390542,49.04097498,15.66246347,14,4.586304874,7.910191241,6.495258065,14.17808656,20.70619352,65.1157192,58.70549763,40.25698971,1.934259316,5.37E+12,0.736702854,8532.484358,-0.171311485,4.506219864,79.23928377,86.02721467,68.69474016,2.087230892,49.15679735,63.87949601,303794709,74.97182396,93.98806763,14.49612405,28.94770577,96.82802989,87.50896893,null,31.61378378,0.909572541,6,6,1.564849648,4.858762237,1.275678027,7.218843315,null,76.22145844,107.4629898,97.66558075,53.14294052,6,6.206341981,8.099220912,17.7098365,80.9123308,1.21284794,null,33.49119753,62.21389104
Least developed countries: UN classification,LDC,aggregate,17.24382679,52.9900324,95.87249462,77.59427872,31.93226319,8,21.55522896,3.899987521,7.197559651,54.75899261,12.79309194,32.44792197,61.11522355,43.38054729,4.083553221,1.14E+12,4.859785104,1089.871778,2.388856008,3.10431993,79.43169121,74.80827378,21.38114231,3.319253727,47.52588704,64.19548469,407047979,65.15557375,65.40097809,45.81030368,50.60567698,65.1076177,37.18746708,null,51.38656492,2.413279327,3,6,5.116904708,9.537810987,7.995442937,11.75989371,null,25.57386971,105.6276779,46.68561935,11.20431042,6,2.903121996,4.798019691,10.46142084,34.1832009,4.056177762,null,72.25448587,25.09906416
Low & middle income,LMY,aggregate,63.0227914,88.31972492,47.3373079,55.635072,19.29408276,9,11.73923028,5.278098452,7.201420277,31.69782145,22.81925314,45.48292291,56.62809515,34.51148615,2.493165323,3.21E+13,3.997645555,4957.610752,2.768420109,3.639835,85.4701646,85.38191243,47.06797381,2.741763825,40.18723726,60.06236691,2812272651,71.45555988,84.38210297,31.63735148,35.13846112,88.15153876,73.1268173,null,69.1859577,1.19611204,3,6,3.058994255,5.145288964,4.052175086,6.576734508,null,57.95608139,101.5031662,72.53395844,33.64041138,6,4.634487101,5.717488187,15.65697575,50.62727272,2.276828513,null,51.12502293,45.54895746
Low income,LIC,aggregate,15.2116149,41.84144375,98.1921207,85.35998531,35.32104729,9,24.82225251,4.898728786,7.63891014,58.62880836,10.5579854,30.81321098,62.4352555,45.04552974,4.76624551,4.42E+11,3.81860776,681.7468579,0.95577854,3.237070084,76.34355981,70.73109477,16.05666574,2.802703079,49.20078865,65.82117048,245101464,63.42399094,60.65451813,49.6,44.68105422,56.4375379,30.42631651,null,43.99731646,2.83572596,3,6,5.9,11.1,8.9,14.4,null,19.82592964,102.0157318,39.39831161,9.148039818,6,2.880603342,5.144135701,10.72612723,33.13434046,4.239679802,null,78.41662017,19.57558886
Lower middle income,LMC,aggregate,55.15429686,88.35884623,45.03373737,57.82817191,21.65929322,9,12.61429985,3.801844522,7.039132705,37.9587558,22.46363254,39.57760594,50.63322161,28.28075158,2.698834282,6.87E+12,3.537923897,2235.391816,2.118548999,3.630019903,84.69550862,85.53730324,36.39865603,3.393419696,33.4949006,53.71154103,1147552449,69.12996818,78.35629272,35.1,49.42142419,88.13806583,67.28823281,null,128.0612474,1.38992858,3,6,3.2,4.9,4.2,6.2,null,58.66727829,100.4323502,69.81095123,26.11603928,7,4.036272394,5.73089945,17.12312729,40.84185097,2.570125006,null,62.1798204,34.98342459
Middle East & North Africa,MEA,aggregate,96.06074519,97.12969397,36.69795204,55.85877118,21.05856623,9,4.438539744,5.408276675,4.793648541,15.23717739,26.94626994,57.81655376,42.20016838,19.97035586,2.700352447,3.52E+12,1.224529048,7444.621285,-0.514225674,3.86736989,90.50076087,88.93725788,67.3339173,1.048834037,26.35280913,46.54429633,153408808,73.95911501,79.27204895,18.8,32.19654638,93.94927892,90.96421551,null,42.1857386,1.747742061,3,6,1.8,4.1,2.1,5.3,null,33.37709045,104.3651123,81.94886017,41.36656189,6,0.529906461,9.333695583,25.0238113,65.31316925,2.20458512,null,24.37040766,71.11698249
Middle East & North Africa (excluding high income),MNA,aggregate,95.37134182,96.64936674,40.03386274,58.74864898,21.79796351,9,5.758801175,5.453898524,5.142723122,19.15658543,26.58822153,54.25519605,38.1969393,18.94258669,2.748005794,1.41E+12,1.023238977,3475.859166,-0.692822223,null,89.72390523,87.98375009,62.23337614,2.478578852,25.65074897,42.88364283,119083084,73.14391859,76.1687088,20.38585877,43.85774255,93.14592195,89.89276974,null,46.93303665,1.7280334,2,6,2.000061531,4.223596464,2.272334151,5.525685669,null,30.84890938,104.66745,78.68110657,38.6247406,6,0.449649847,10.92946844,26.14657494,61.59112494,2.220383958,null,31.17470661,63.57707745
Middle East & North Africa (IDA & IBRD countries),TMN,aggregate,95.37134182,96.61017614,39.94667559,58.54882529,21.70827449,9,5.775405436,5.453898524,5.165153728,19.27291881,26.55469758,54.17238757,38.24976804,18.95352714,2.737865275,1.39E+12,1.019871154,3473.742114,-0.686895034,3.32583499,89.57330581,87.80489888,62.11813288,3.005389494,25.58558971,42.86940758,117833627,73.11939013,75.92459869,20.49738793,43.85774255,93.09398275,89.79615286,null,46.42279683,1.718570967,2,6,2.002967425,4.238331802,2.279198252,5.549501697,null,30.45108032,104.7465286,78.42060852,38.55060959,6,0.449649847,10.77666537,25.95139803,61.4174454,2.210338485,null,31.25579382,63.5073604
Middle income,MIC,aggregate,68.36843354,93.49492316,39.52805732,52.32632006,17.51008261,10,10.481793,5.282489584,7.152722223,29.10942664,23.99770983,46.89286033,56.12635482,33.03727885,2.257073677,3.17E+13,4.000397397,5433.458434,2.953534186,3.808640003,87.35293645,88.40430112,50.13792836,2.726430374,38.9258182,59.56480462,2567171187,72.34957597,86.50932312,27.62669867,35.03562442,91.69217423,77.89783414,null,73.89505357,1.016830767,4,6,2.58372139,4.259886454,3.19214415,5.571970223,null,66.04408264,101.4013901,77.47981262,36.82424164,6,4.783830199,5.772229193,16.34703298,52.57505112,2.141859633,null,48.50196909,48.04531353
North America,NAC,aggregate,100,100,15.56336571,52.50378262,11.24533574,11,0.056663297,16.24468365,8.586936937,1.661356728,19.57818027,78.76049112,60.50494931,47.60935866,1.681889495,2.31E+13,2.261827456,63203.37389,1.695218648,4.880820036,93.73388272,90,89.6808051,1.88073955,52.13612595,62.95427904,187858947,79.14171238,91.13,5.4,11.51448083,99.69092963,99.58923171,null,20.20613928,0.557163666,6,6,0.7,2.5,0.6,4.6,null,70.14607239,100.9820709,101.2736816,86.70834351,6,9.602156855,3.889895237,8.622804257,82.36168903,0.787987942,null,4.725080778,92.91489446
Not classified,INX,aggregate,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
OECD members,OED,aggregate,97.99680553,99.94174298,20.25698885,53.88054719,10.90927785,10.5,1.65560953,12.49624009,8.622618357,4.858936449,22.51379136,72.62728102,57.45162333,41.08281999,1.629539564,5.39E+13,1.730625039,39531.34357,1.231964078,4.988709927,93.34882862,90.82476989,84.77692599,1.740712679,46.5949582,60.7221087,680397191,80.22207852,97.11,5.90066881,13.87433689,99.16722598,98.2975879,null,38.38202943,0.4925924,6,6,0.756846899,2.187505735,0.605976108,3.541681443,null,80.41416931,102.0151901,105.736763,76.8963623,6,8.634741529,5.38572628,12.60267176,80.81017638,0.760343381,null,12.7556127,83.69221203
Other small states,OSS,aggregate,58.09003192,77.58060299,59.3693691,57.86815603,22.25942021,9,5.558646202,4.985929318,7.213998301,19.26468998,25.21513313,55.52017826,56.64838055,29.27850155,2.923470935,4.34E+11,2.186157451,13563.89766,0.55469619,4.719299793,85.56679393,82.89363176,60.22423782,1.858412191,35.97634228,62.29038569,13866940,68.77113447,85.19822693,35.19941876,20.7682653,87.59536628,67.36281474,null,15.75438635,1.622461528,3,6,3.991573743,7.279978117,5.13640301,9.257649548,null,39.43558884,108.0756531,73.88726044,21.27652931,6,4.891165434,9.057354533,22.6288757,62.61372518,2.309227942,null,30.58119811,66.77172369
Pacific island small states,PSS,aggregate,30.34676531,84.58639026,44.96376638,65.89066322,25.35210209,null,25.40042923,5.240646097,6.462352259,35.2806847,12.50792005,52.21128606,63.97027305,47.32323982,3.309494104,10739835369,1.012540769,4234.833963,-0.016834644,null,92.02308064,88.13668586,55.03010204,1.407199394,51.18650726,65.96095571,947598,69.29425141,90.86129761,20.38151673,8.337131987,86.04758645,69.85752352,null,39.53343726,1.029548734,null,null,2.298225913,4.375035031,2.434557121,6.028847925,null,67.90338135,110.4433212,73.48474884,22.98813057,null,2.381518962,3.017993759,9.224943873,38.88279445,1.567133356,null,47.7057119,51.13346914
Post-demographic dividend,PST,aggregate,99.56292556,99.99292311,10.97970258,54.92330882,9.57940224,10,0.753831781,12.92112106,9.544979118,3.190735248,21.86968968,74.9395861,57.77836601,41.95078779,1.518956683,5.09E+13,1.690427251,45701.58439,1.399599179,4.944884777,94.07072967,92.91681439,87.46992284,1.619631902,46.90434441,60.78167717,568633901,80.89908326,null,4.097494511,13.52270836,99.40407479,99.20505039,null,35.51675532,0.286813828,6,6,0.580706403,1.709867423,0.474798559,2.896902707,null,85.82427216,100.6912689,104.9563828,80.1658783,7,9.478112684,4.94093117,11.57998838,81.47385014,0.524187993,null,8.790921984,87.96185491
Pre-demographic dividend,PRE,aggregate,17.87301917,47.57505613,108.7522913,87.71193245,36.76466162,8.5,18.78600665,3.875689037,8.77147621,51.0941581,11.22754662,37.6783,60.56646133,37.17322403,4.988684222,1.42E+12,3.197618455,1484.236014,0.391506242,3.484100103,73.78583458,70.48672253,26.04746866,2.377587328,41.22683781,64.03518859,344525802,60.72165737,63.53018188,54.70098011,50.46195103,63.42520301,36.35128876,null,47.14739616,2.795168953,3,6,6.535140599,10.58635526,10.53542355,13.83308649,null,23.45087051,98.4789505,42.21881104,8.738269806,6,3.902822257,5.416747181,11.62171267,41.93103194,4.157274996,null,74.38711432,23.25699837
Small states,SST,aggregate,62.0470182,81.62165122,55.69732233,55.85812981,20.97307831,9,5.857045845,5.169148374,7.216556331,18.51425007,23.39478124,58.09097072,57.27796168,30.80337978,2.708386723,5.22E+11,1.950026383,12442.12013,0.525731351,4.719299793,87.00260665,84.39655855,62.30398071,1.517449414,37.53642287,62.48149296,18238960,69.46719962,86.64064026,31.77856929,22.74678611,88.82132703,71.61385287,null,16.78271509,1.416846227,3,6,3.550406884,6.588416428,4.470625349,8.684791072,null,46.50091934,106.4987106,75.89050293,21.7329998,6,4.831369825,8.328045054,21.24289829,59.19804473,2.064524272,null,30.94150181,66.22001648
South Asia,SAS,aggregate,56.412308,95.31230716,29.69427433,52.98028233,18.93268097,9,12.83533576,3.004730911,6.596752783,40.79331714,24.59664109,34.61003012,47.17863417,25.20088535,2.320115997,3.66E+12,3.940144628,1964.980519,2.76403767,2.860664964,89.80381585,91.61450722,27.99036119,3.628949659,31.16932991,50.29591677,670508999,70.47275497,72.67485809,33.4,55.40121561,91.54213659,67.7875801,null,390.2620415,1.144473285,2,5,2.7,4.5,2.5,5.7,null,63.00175095,99.55648804,69.91795349,25.30084991,7,3.818430718,6.197325053,19.96645479,34.44463406,2.449412019,null,68.84630331,28.65353021
South Asia (IDA & IBRD),TSA,aggregate,56.412308,95.31230716,29.69427433,52.98028233,18.93268097,9,12.83533576,3.004730911,6.596752783,40.79331714,24.59664109,34.61003012,47.17863417,25.20088535,2.320115997,3.66E+12,3.940144628,1964.980519,2.76403767,2.860664964,89.80381585,91.61450722,27.99036119,3.628949659,31.16932991,50.29591677,670508999,70.47275497,72.67485809,33.43056928,55.40121561,91.54213659,67.7875801,null,390.2620415,1.144473285,2,5,2.697803026,4.478303115,2.548403749,5.686460503,null,63.00175095,99.55648804,69.91795349,25.30084991,7,3.818430718,6.197325053,19.96645479,34.44463406,2.449412019,null,68.84630331,28.65353021
Sub-Saharan Africa,SSF,aggregate,17.56267585,47.13252085,102.9831979,84.45381051,35.42962399,8,19.98396775,4.687130239,8.671770425,51.58250406,11.41493917,37.00255904,62.72245143,40.32894428,4.734252981,1.82E+12,2.591865886,1625.762576,-0.074132298,3.586115003,74.42439078,70.6098596,27.76492234,2.802703079,44.55845993,66.77345485,430412786,61.24429052,67.05906677,52.3,29.81806159,62.52274479,33.0156145,null,46.94459428,2.667976016,3,6,6.3,10.1,10,13.1,null,27.43991089,99.04914093,43.73445892,9.451629639,6,4.468704929,6.066772174,11.56741419,40.75928286,4.032824777,null,73.20276099,24.45651293
Sub-Saharan Africa (excluding high income),SSA,aggregate,17.55549949,47.12791861,102.9856365,84.45730169,35.43128056,8,19.98396775,4.686959333,8.671820199,51.58250406,11.41493917,37.00255904,62.72245143,40.32894428,4.73445826,1.82E+12,2.589891846,1624.437172,-0.07620817,3.586115003,74.42322039,70.60850755,27.76046335,2.835145557,44.55845993,66.77345485,430412786,61.24317607,67.05568695,52.32820387,29.82248338,62.51979167,33.00975031,null,46.94141182,2.668133352,3,6,6.293829543,10.09600745,9.996777116,13.12196041,null,27.4371891,99.0490799,43.73228836,9.450980186,6,4.467824265,6.066772174,11.56741419,40.75785871,4.033121847,null,73.20276099,24.45651293
Sub-Saharan Africa (IDA & IBRD countries),TSS,aggregate,17.56267585,47.13252085,102.9831979,84.45381051,35.42962399,8,19.98396775,4.687130239,8.671770425,51.58250406,11.41493917,37.00255904,62.72245143,40.32894428,4.734252981,1.82E+12,2.591865886,1625.762576,-0.074132298,3.586115003,74.42439078,70.6098596,27.76492234,2.802703079,44.55845993,66.77345485,430412786,61.24429052,67.05906677,52.32649239,29.81806159,62.52274479,33.0156145,null,46.94459428,2.667976016,3,6,6.293580828,10.09570774,9.99634701,13.12129135,null,27.43991089,99.04914093,43.73445892,9.451629639,6,4.468704929,6.066772174,11.56741419,40.75928286,4.032824777,null,73.20276099,24.45651293
Upper middle income,UMC,aggregate,83.21019666,99.23619515,30.62419571,46.18016953,12.87497543,10,8.756605078,5.694863186,7.27961373,21.95036133,25.23877108,52.81086644,61.52632715,40.24593146,1.747184446,2.48E+13,4.13071773,9006.037156,3.506290378,3.916650057,91.8698508,93.27742833,65.37980118,1.849229845,47.15652858,65.31879969,1419618738,75.94624187,95.85511017,9.9,32.16498328,95.73381025,89.98346255,null,50.18328381,0.603274786,5,6,1.3,2.8,1.1,4.4,null,77.30007935,103.1619034,92.90413666,54.97436905,6,5.519665541,5.805638196,15.17083995,65.69079962,1.846320571,null,37.43665226,58.61231972
World,WLD,aggregate,68.92160119,90.19471559,43.3728484,55.32225702,17.81743348,10,9.721909234,9.832463953,7.471373302,26.38817179,22.79586305,50.81596487,56.87826777,35.15497888,2.360559316,8.77E+13,2.594550083,11330.45367,1.522508894,4.095310211,86.2310397,86.13156406,53.74888437,2.206073058,40.73514863,60.21635465,3453408726,72.97971594,86.65676117,29.2,18.01668904,89.94711955,77.3067689,null,59.58509696,1.055964042,4,6,2.8,4.8,3.7,6.2,null,60.80398178,101.4255219,76.23401642,39.22737885,6,5.434349419,5.543160758,15.23617004,55.63026313,1.864506144,null,43.35671622,53.32782505
